Index,Source,P/C,,,,Count
230,(Photo: MichiganTrailMaps.com),Professional - co.,,,,1
231,(Photo: John Reed-USA TODAY Sports),Professional - usa today sports,,,,1
232,"(Photo: Carlos Osorio, Associated Press)",Professional - press,,,,2
233,(Photo: The Office of Governor Gretchen Whitmer),                              ,,,,3
234,(Photo: Cliinton Township),                              ,,,,1
235,(Photo: Free Press anonymous source),Professional - press,,,,2
236,"(Photo: siedemczwartych, Getty Images/iStockphoto)",Professional - getty,,,,1
237,(Photo: Michelle Andonian),                              ,,,,2
238,"(Photo: JC Reindl, Detroit Free Press)",Professional - press,,,,3
239,"(Photo: Ingram Publishing, Getty Images/Ingram Publishing)",Professional - getty,,,,1
240,(Photo: State of the Union),Professional - state,,,,1
241,State of the Union,Professional - state,,,,4
242,Mike Thompson/D,Professional - press,,,,1
243,Benny Sieu / USA TODAY Sports,Professional - usa today sports,,,,2
244,"Andy Marlin, Andy Marlin-USA TODAY Sports",Professional - usa today sports,,,,1
245,"Lynne Sladky, AP",Professional - AP,,,,1
246,"Elise Amendola, AP",Professional - AP,,,,1
247,"David Butler II, David Butler II-USA TODAY Sports",Professional - usa today sports,,,,1
248,"TANNEN MAURY, European Press Agency",Professional - press,,,,1
249,Brad Penner-USA TODAY Sports,Professional - usa today sports,,,,1
250,"(Photo: TANNEN MAURY, European Press Agency)",Professional - press,,,,1
251,(Photo: University of Cincinnati),Professional - university,,,,1
252,(Photo: Matt Kartozian USA TODAY Sports),Professional - usa today sports,,,,1
253,"(Photo: Steve Mitchell, USA TODAY Sports)",Professional - usa today sports,,,,2
254,(Photo: Mike Coppola Getty Images),Professional - getty,,,,1
255,(Photo: Blue Valley North High School),Professional - school,,,,2
256,(Photo: Orange County Sheriff's Office),Professional - sherif,,,,1
257,"(Photo: Spartanburg County, South Carolina, Sheriff's Office)",Professional - sherif,,,,1
258,"(Photo: Mike Granse, USA TODAY Sports)",Professional - usa today sports,,,,1
259,Mike Granse USA TODAY Sports,Professional - usa today sports,,,,7
260,"(Photo: Noah K. Murray, USA TODAY Sports)",Professional - usa today sports,,,,3
261,"Bill Kostroun, AP",Professional - AP,,,,18
262,Noah K. Murray USA TODAY Sports,Professional - usa today sports,,,,9
263,(Photo: usat),                              ,,,,1
264,"(Photo: Tom Rich, The Dirt Label)",                              ,,,,2
265,(Photo: Free Press archive photo),Professional - archive,,,,1
266,"(Photo: National Baseball Library, Associated Press)",Professional - press,,,,1
267,(Photo: Detroit Free Press file photo),Professional - file,,,,1
268,(Photo: Matt Kryger/IndyStar),Professional - indystar,,,,1
269,"(Photo: Shane Keyser, TNS)",Professional - tns,,,,1
270,"Gary A. Vasquez, USA TODAY Sports",Professional - usa today sports,,,,4
271,"Mark J. Terrill, AP",Professional - AP,,,,2
