Index,Source,P/C,,,,Count
282,John Schlia Photography,                              ,,,,2
283,Adam Wilcox,                              ,,,,2
284,KATE MELTON,Professional - file,,,,2
285,Vince Press,Professional - press,,,,2
286,Mattwittmeyer.com,Professional - co.,,,,2
287,Donyelle Davis,                              ,,,,2
288,(Photo: Staff),Professional - staff,,,,2
289,"(Photo: Shawn Dowd, Yes-GRN)",                              ,,,,2
290,"(Photo: Ryan Garza, USA TODAY)",Professional - usa today,,,,2
291,"MATT ROURKE, AP",Professional - AP,,,,4
292,"JASON CONNOLLY, AFP/Getty Images",Professional - getty,,,,4
293,"JOSEPH PREZIOSO, AFP/Getty Images",Professional - getty,,,,12
294,"COLLEEN MCGRATH, The Herald-Mail via AP",Professional - AP,,,,8
295,"COLTER PETERSON, St. Louis Post-Dispatch via AP",Professional - AP,,,,4
296,"CJ GUNTHER, EPA-EFE",                              ,,,,4
297,(Photo: TINA MacIntyre-Yee/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,2
298,(Photo: Patrick Oehler/Poughkeepsie Jour),                              ,,,,1
299,(Photo: Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,1
300,(Photo: Matt Futter /UR Medicine Home Care),                              ,,,,1
301,(Photo: Jim Memmott),                              ,,,,1
302,"Kirby Lee, USA TODAY Sports",Professional - usa today sports,,,,4
303,"TANNEN MAURY, EPA-EFE",                              ,,,,1
304,"David J. Phillip, AP",Professional - AP,,,,3
305,"John Bazemore, AP",Professional - AP,,,,1
306,"(Photo: Win McNamee, Getty Images)",Professional - getty,,,,1
307,(Photo: Medical College of Wisconsin),Professional - college,,,,1
308,(Photo: Ron Kuenstler),                              ,,,,1
309,(Photo: Carlie Beaudin Facebook),Citizen - facebook,,,,1
310,"(Photo: Nam Y. Huh, AP)",Professional - ap,,,,2
311,"(Photo: didesign021, Getty Images/iStockphoto)",Professional - getty,,,,2
312,(Photo: Jamie Germano/@jgermano1/Staff Photographer),Professional - staff,,,,2
313,(Photo: Goat Factory Media Entertainment),Professional - media,,,,1
314,(Photo: New York state Comptroller's Office),Professional - state,,,,2
315,(Photo: TINA MACINTYRE-YEE/Rochester Democrat and Chronicle),Professional - democrat and chronicle,,,,2
316,(Photo: GETTY IMAGES),Professional - getty,,,,2
