Index,Source,P/C,,,,Count
339,"(Ellen M. Banner / The Seattle Times, 2013)",Professional - seattle times,,,,1
340,(Pierce County Sheriff’s Office),Professional - sherif,,,,1
341,(AP Photo/John Raoux),Professional - ap,,,,1
342,(AP Photo/John Raoux) ,Professional - ap,,,,1
343,"(AP Photo/Jason DeCrow, File)",Professional - file,,,,1
344,(AP Photo/Jae C. Hong),Professional - ap,,,,10
345,(AP Photo / Kelvin Chan),Professional - ap,,,,4
346,(photo for The Washington Post by Nick Otto).,Professional - washington post,,,,2
347,"(Bloomberg photo by Ty Wright, 2017).",Professional - bloomberg,,,,1
348,"(J. Rogers, Northwestern University via The New York Times) ",Professional - university,,,,1
349,"(Dean Rutz / The Seattle Times, file)",Professional - file,,,,1
350,(Courtesy of the Icicle & Peshastin Irrigation Districts),                              ,,,,1
351,(Courtesy of the Icicle & Peshastin Irrigation districts),                              ,,,,1
352,(Photo from InciWeb / U.S. Forest Service) ,Professional - service,,,,1
353,(Mike Cohen / The New York Times),Professional - times,,,,2
354,"(AP Photo/Matthew Brown, File)",Professional - file,,,,1
355,"(AP Photo/Gerald Herbert, File)",Professional - file,,,,2
356,"(AP Photo/Steve Helber, File)",Professional - file,,,,1
357,"(AP Photo/Ben Margot, File)",Professional - file,,,,1
358,(Photo by Richard Shotwell/Invision/AP),Professional - ap,,,,2
359,(Photo by Jordan Strauss/Invision/AP),Professional - ap,,,,3
