Index,Source,P/C,,,,Count
283,Photo: Christina Koci Hernandez / The Chronicle,Professional - the chronicle,,,,1
284,Photo: Photo credit: Marija Vidal,                              ,,,,1
285,"Photo: Michael Macor, The Chronicle 2018",Professional - the chronicle,,,,4
286,"Photo: Jordan Puckett, San Francisco Playhouse",                              ,,,,1
287,Photo: Paul Sakuma / Associated Press 2008.,Professional - associated press,,,,1
288,Photo: Courtesy Bill Fox,Professional - fox,,,,9
289,Photo: Arthur Frisch / The Chronicle,Professional - the chronicle,,,,1
290,"Photo: Yalonda M. James, The Chronicle",Professional - the chronicle,,,,7
291,Photo: Photos by Michael Short / Special to The Chronicle,Professional - the chronicle,,,,2
292,Photo: Josh Edelson / The Chronicle,Professional - the chronicle,,,,4
293,Photo: Santiago Mejia / The Chronicle 2017,Professional - the chronicle,,,,2
294,Photo: Chronicle photo illustration; Michael Macor / The Chronicle; Getty Images,Professional - getty,,,,1
295,Photo: Christopher Trotman / Getty Images,Professional - getty,,,,1
296,Photo: Abramorama,                              ,,,,1
297,"Photo: Lea Suzuki, The Chronicle",Professional - the chronicle,,,,1
298,Photo: Ecco,                              ,,,,1
299,Photo: Courtesy James Oseland,                              ,,,,2
300,Photo: Lea Suzuki / The Chronicle 2016,Professional - the chronicle,,,,1
301,Photo: Santiago Mejia / The Chronicle 2018,Professional - the chronicle,,,,5
302,Photo: John Storey / Special to The Chronicle 2017,Professional - the chronicle,,,,1
303,Photo: John Storey / Special to The Chronicle 2013,Professional - the chronicle,,,,1
304,Photo: Alexei Koseff / Sacramento Bee,Professional - sacramento bee,,,,1
305,Photo: W.G. DUNLOP;W.g. Dunlop / AFP / Getty Images,Professional - getty,,,,1
306,Photo: CELESTE SLOMAN;Celeste Sloman / New York Times,Professional - times,,,,1
307,Photo: Alex Wong / Getty Images,Professional - getty,,,,1
308,Photo: ELIZABETH D. HERMAN;Elizabeth D. Herman / New York Times,Professional - times,,,,1
