Index,Source,P/C,,,,Count
226,(Photo: Kentucky Department of Corrections),Professional - department,,,,1
227,(Photo: Marion County Jail),Professional - jail,,,,1
228,"(Photo: By Pat McDonogh, Courier Journal)",Professional - journal,,,,6
229,"(Photo: By Pat McDonoogh, Courier Journal)",Professional - journal,,,,1
230,Matt Stone,Professional - journal,,,,9
231,"(Photo: Adam Beam, AP)",Professional - ap,,,,3
232,"(Photo: Greg Eans, AP)",Professional - ap,,,,1
233,Damian Strohmeyer/Animal Planet,Professional - animal planet,,,,1
234,"Keith Barraclough, Animal Planet",Professional - animal planet,,,,9
235,Mike Carter-USA TODAY Sports,Professional - usa today,,,,5
236,"Al Goldis, AP",Professional - AP,,,,2
237,"Mike Carter, Mike Carter-USA TODAY Sports",Professional - usa today,,,,1
238,"Rey Del Rio, Getty Images",Professional - getty,,,,1
239,"Mike Carter, USA TODAY Sports",Professional - usa today,,,,1
240,"(Photo: mphillips007, Getty Images)",Professional - getty,,,,1
241,"(Photo: Vicheslav, Getty Images/iStockphoto)",Professional - getty,,,,1
242,"(Photo: shanecotee, Getty Images/iStockphoto)",Professional - getty,,,,1
243,"(Photo: Magone, Getty Images/iStockphoto)",Professional - getty,,,,1
244,"(Photo: sdstockphoto, Getty Images)",Professional - getty,,,,1
245,"(Photo: Matthew de Lange, Getty Images/iStockphoto)",Professional - getty,,,,1
246,"(Photo: Richard Shiro, AP)",Professional - ap,,,,2
247,Maggie Huber,                              ,,,,10
248,"(Photo: NBC, NBCU Photo Bank via Getty Images)",Professional - nbc,,,,1
249,(Photo: Eastern Virginia Medical School),Professional - school,,,,1
250,Pool photo by Steve Helber,                              ,,,,1
251,"Drew Angerer, Getty Images",Professional - getty,,,,3
252,"Logan Cyrus, AFP/Getty Images",Professional - getty,,,,1
253,"Shelby Lum, Richmond Times-Dispatch via AP",Professional - AP,,,,1
254,"Steve Earley, The Virginian-Pilot via AP",Professional - AP,,,,1
255,"Dan Currier, EPA-EFE",                              ,,,,1
256,"Alex Edelman, Getty Images",Professional - getty,,,,1
257,"(Photo: SAM UPSHAW JR., The Courier-Journal)",Professional - journal,,,,1
258,(Photo: By Pat McDonogh / CJ),                              ,,,,1
259,(Photo: Provided by zoo ),Professional - zoo,,,,1
260,Jim Gensheimer/Courier Journal,Professional - journal,,,,1
261,Michael Hayman/Courier Journal,Professional - journal,,,,1
262,Pam Spaulding/Courier Journal,Professional - journal,,,,1
263,Pat McDonogh/Courier Journal,Professional - journal,,,,1
264,Gary S Champman/Courier Journal,Professional - journal,,,,1
265,Bernie Metzroth/Courier Journal,Professional - journal,,,,1
266,Robert Steinau/Courier Journal,Professional - journal,,,,1
267,Richard Nugent/Courier Journal,Professional - journal,,,,1
268,Ben Van Hook/Courier Journal,Professional - journal,,,,1
269,"By Pat McDonogh, Courier Journal",Professional - journal,,,,50
270,(Photo: Special to Courier-Journal by David R. Lutman),Professional - journal,,,,1
271,Matt Stone/Louisville Courier Journal,Professional - journal,,,,9
272,", Larry Spitzer/Courier Journal",Professional - journal,,,,1
273,Paul Schaumann/Courier Journal,Professional - journal,,,,1
274,file photo,Professional - file,,,,1
275,"Copyright 2005 The Courier Journal, No Courier Journal",Professional - journal,,,,1
276,By Pat McDonogh/The Courier Journal,Professional - journal,,,,1
277,Michael Clevenger,Professional - journal,,,,1
278,Chris Otts/The Courier Journal,Professional - journal,,,,1
279,Chris Hall/The Courier Journal,Professional - journal,,,,1
280,Kylene Lloyd/The Courier Journal,Professional - journal,,,,1
281,(Photo: Courier-Journal),Professional - journal,,,,1
282,(Photo: SCJ),                              ,,,,1
283,"By Pat McDongogh, Courier Journal",Professional - journal,,,,1
284,"(Photo: Johannes Eisele, AFP/Getty Images)",Professional - getty,,,,1
285,(Photo: Marty Pearl),Professional - journal,,,,1
286,Marty Pearl/Special to The C-J,                              ,,,,10
287,(Photo: Courier Journal),Professional - journal,,,,4
288,"(Photo: Bac Totrong, AP)",Professional - ap,,,,2
289,(Photo: David R. Lutman/Special to Courier-Journal),Professional - journal,,,,1
290,(Photo: Matt York/AP),Professional - ap,,,,1
291,(Photo: LMPD),                              ,,,,5
292,(Photo: Courtesy Michter’s Fort Nelson Distillery),                              ,,,,4
293,(Photo: David R. Lutman/Special to The CJ),                              ,,,,2
294,The Louisville Orchestra TM LucasFilms LTD © Disney,Professional - disney,,,,1
295,"(Photo: David M. Russell, Disney/ABC Home Entertainment and TV Distribution)",Professional - abc,,,,1
296,"(Photo: Keith Srakocic, AP)",Professional - ap,,,,1
297,"(Photo: Drew Angerer, Getty Images)",Professional - getty,,,,1
298,"(Photo: Andrew Harnik, AP)",Professional - ap,,,,1
299,(Photo: Dalvin Brown),                              ,,,,3
300,(Photo: Courtesy Shop Local Kentucky),                              ,,,,1
301,(Photo: Courtesy of Michter's),                              ,,,,2
302,Courtesy of Michter's,                              ,,,,1
303,Courtesy Michter’s Fort Nelson Distillery,                              ,,,,4
304,Photo courtesy of Michter's,                              ,,,,1
305,"By Pat McDonogh, The CJ",                              ,,,,2
306,(Photo: Billy Kobin/Louisville Courier Journal),Professional - journal,,,,1
307,(Photo: Billy Kobin/Courier Journal),Professional - journal,,,,1
308,(Photo: Chuck Burton/AP),Professional - ap,,,,1
309,(Photo: Pat McDonogh/Courier Journal),Professional - journal,,,,1
310,(Photo: Pat McDonogh/Courier Journal ),Professional - journal,,,,1
311,(Photo: Matt Stone/ Courier Journal),Professional - journal,,,,1
312,(Photo: Michael Clevenger/The Courier Journal),Professional - journal,,,,1
313,(Photo: Michael Clevenger/CJ),                              ,,,,1
314,(Photo: Nikki Boliaux/Courier Journal),Professional - journal,,,,1
315,(Photo: Scott Utterback/The Courier Journal),Professional - journal,,,,1
316,"(Photo: Edward Allen Marlowe, Paducah Sun)",                              ,,,,1
317,(Photo: Scott Utterback/The CJ ),                              ,,,,1
318,Adam Creech/Special to the CJ,                              ,,,,7
319,", Adam Creech/Special to the CJ",                              ,,,,2
320,"(Photo: Ohio State Highway Patrol, AP)",Professional - ap,,,,1
321,"(Photo: Hero Images, Getty Images/Hero Images)",Professional - getty,,,,1
322,"(Photo: KidStock, Getty Images/Blend Images)",Professional - getty,,,,1
323,"(Photo: bhofack2, Getty Images/iStockphoto)",Professional - getty,,,,1
324,"(Photo: luckyraccoon, Getty Images/iStockphoto)",Professional - getty,,,,1
325,"(Photo: AP Photo/April L. Brown,)",Professional - ap,,,,1
326,(Photo: Jen Tullock),                              ,,,,1
327,(Photo: The Courier-Journal),Professional - journal,,,,1
328,"(Photo: Theo Wargo, WireImage)",Professional - wireimage,,,,1
329,(Photo: AP),Professional - ap,,,,1
